src_term,tar_term
aggressive water,agresivna voda
ice cave,ledena jama
cave,jama
river cave,rečna jama
coastal cave,obalna jama
eogenetic cave,eogenetska jama
karst cave,kraška jama
ponor cave,ponorna jama
linear stream cave,linearna epifreatična jama
epigenic aquifer,epigeni vodonosnik
aquifer,vodonosnik
karst aquifer,kraški vodonosnik
karst plateau,kraška planota
karst drainage,kraška drenaža
karst valley,kraška dolina
karst polje,kraško polje
karst groundwater,kraška podtalnica
karst phenomena,kraški pojav
mineralization,mineralizacija
precipitation,precipitacija
nitrification,nitrifikacija
salinization,salinizacija
karst,kras
limestone,apnenec
corrosion,korozija
marble,marmor
