Term,Freq
abandoned child,2
abandoned land,3
abolition of customs duties,5
abortion,6
absolute majority,9
abuse of power,12
academic freedom,13
accession criteria,14
accession negotiations,15
accession to an agreement,16
access to a profession,18
access to education,19
access to information,21
access to the courts,22
accidental pollution,23
accident in the home,24
accident prevention,25
account,26
accountant,27
accounting,28
accounting entry,29
accounting system,30
acid,32
acidification,33
acid rain,34
acoustics,35
acquisition of property,44
action brought before an administrative court,45
action by staff,46
action for annulment,47
action for failure to act,49
action for failure to fulfil an obligation,50
action programme,51
action to establish liability on the part of an administration,52
activating price,53
activity report,54
adaptation of financial perspectives,55
adaptation to climate change,56
added value,57
additional benefit,58
additional duty,59
additional resources,60
adhesive,61
ad hoc committee,62
adjournment,63
adjustment to school,64
adjuvant,65
administration headquarters,66
administrative autonomy,68
administrative code,69
administrative competition,70
administrative contract,71
administrative control,72
administrative cooperation,73
administrative court,74
administrative expenditure,75
administrative formalities,77
administrative law,78
administrative measure,79
administrative offence,80
administrative order,81
administrative personnel,82
administrative powers,83
administrative procedure,84
administrative reform,85
administrative responsibility,86
administrative sanction,87
administrative science,88
administrative structures,89
administrative supervision,90
administrative transparency,91
administrative unit,92
administrator,93
admissibility,94
admission of aliens,95
admission to examinations,96
adopted child,98
adoption law,99
adoption of a child,100
adoption of a law by vote,101
adoption of the budget,102
adult,107
adult education,108
advance,109
advanced materials,110
advanced technology industry,111
advance payment,112
advance voting,113
advertising,114
advertising budget,115
advertising malpractice,116
advisory power,118
aerated drink,121
aerodynamics,122
aeronautical industry,123
aerosol,124
aerospace industry,125
aesthetic surgery,127
affiliated retailing,129
afforestation,130
after-sales service,139
age discrimination,140
agency abroad,141
agenda,143
age of majority,144
aggravating circumstances,145
agrarian law,146
agrarian reform,147
agricultural adviser,149
agricultural advisory services,150
agricultural area with environmental restrictions,151
agricultural bank,152
agricultural building,153
agricultural by-product,154
agricultural census,155
agricultural cooperative,156
agricultural credit,157
agricultural disaster,158
agricultural economics,159
agricultural education,160
agricultural equipment,161
agricultural expenditure,162
agricultural guidance,163
agricultural holding,164
agricultural implement,165
agricultural insurance,166
agricultural labour force,167
agricultural land,168
agricultural levy,169
agricultural machinery,170
agricultural market,171
agricultural performance,172
agricultural policy,173
agricultural product,174
agricultural production,175
agricultural production policy,176
agricultural productivity,177
agricultural product nomenclature,178
agricultural quota,179
agricultural real estate,180
agricultural region,181
agricultural sector representative body,182
agricultural situation,183
agricultural statistics,184
agricultural structure,185
agricultural surplus,186
agricultural trade,187
agricultural vehicle,188
agricultural waste,189
agri-environmental plan,192
agri-foodstuffs,193
agri-monetary policy,194
agro-industrial cropping,197
agronomic research,199
agronomy,200
aid evaluation,201
aid for restructuring,202
aid in kind,203
aid per hectare,204
aid policy,205
aid programme,206
aid recipient,207
aid system,209
aid to agriculture,210
aid to disadvantaged groups,211
aid to disaster victims,212
aid to industry,213
aid to refugees,214
aid to undertakings,215
air cabotage,216
air conditioning,217
aircraft,218
aircraft carrier,219
aircraft fleet,220
air-cushion vehicle,221
air force,222
air freight rate,223
air law,224
airline,225
airport,226
air safety,227
air space,228
air traffic,229
air traffic control,230
air transport,231
alcohol,237
alcoholic beverage,238
algae,242
allergy,245
allocation clause,246
allocation of land,247
allocation of resources,248
allocation of seats,249
allocation of work,250
allowances and expenses,251
alloy,252
alternate,255
alternative agricultural production,256
alternative dispute resolution,257
alternative investment,258
alternative medicine,259
alternative sentence,260
alternative service,261
alternative use of agricultural products,262
aluminium,263
amending budget,265
amendment,266
amendment of a law,267
amorphous materials,272
amortisation,273
amphibian,274
analysis of causes,275
analytical chemistry,276
anatomy,278
ancient history,279
anhydride,288
animal breeding,289
animal disease,290
animal experimentation,291
animal fats,292
animal feedingstuffs,293
animal health,294
animal leucosis,295
animal life,296
animal nutrition,297
animal oil,298
animal plague,299
animal product,300
animal production,301
animal protein,302
animal resources,303
animal show,304
animal skin,305
animal taxonomy,306
animal tuberculosis,307
animal welfare,308
announcement of candidacy,309
antibiotic,313
anti-discriminatory measure,315
anti-dumping duty,316
anti-dumping legislation,317
anti-dumping measure,318
antimicrobial resistance,322
antimony,324
anti-personnel weapon,325
anti-pollution device,326
anti-subsidy proceeding,329
anti-trust legislation,330
apiculture,336
apparatus based on the use of rays,337
appeal,338
appeals by private individuals,339
appeal to an administrative authority,340
application of the law,344
applied research,345
applied sciences,346
appointment of members,347
appointment of staff,348
apprentice,349
apprenticeship,350
approval,351
approval of tariffs,352
approximation of laws,353
approximation of policies,354
aquaculture,356
aquatic ecosystem,357
aquatic environment,358
aquatic plant,359
arbitrage,372
arbitration,373
arbitration clause,374
arboriculture,375
archaeology,376
archipelago,377
architectural heritage,378
architecture,379
archives,380
area management,384
area of holding,386
armed forces,391
arms control,394
arms industry,395
arms limitation,396
arms policy,397
arms supply,398
arms trade,399
aromatic plant,400
arrangement of working time,401
arrest,402
art education,403
artificial food colouring,404
artificial insemination,405
artificial intelligence,406
artificial reproduction,407
artistic creation,409
artistic profession,410
arts,411
art trade,412
asbestos,415
assembly line production,426
assembly line work,427
assessment,428
assessment of prices,429
assistance in training,430
assistant,431
assisting spouse,432
associated action for damages,433
associated country,434
association,435
association agreement,436
association of local authorities,440
associative movement,441
asymmetric warfare,444
atlas,448
atmosphere,449
atmospheric conditions,450
atmospheric pollutant,451
atmospheric pollution,452
atom,453
atomic bomb,454
auction sale,457
audio cassette,458
audiovisual communications policy,459
audiovisual co-production,460
audiovisual document,461
audiovisual equipment,462
audiovisual industry,463
audiovisual piracy,464
audiovisual production,465
audiovisual programme,466
audit,467
auditing,468
authorised catch,472
automatic game,474
automatic vending machine,475
automation,476
autonomous community,478
autonomy,482
auxiliary worker,485
available energy,486
available energy resources,487
average price,488
avian influenza,489
aviation fuel,490
aviation security,491
award of contract,492
axle tax,493
