Term,Freq
enfant abandonné,2
terre abandonnée,3
suppression des droits de douane,5
avortement,6
majorité absolue,9
abus de pouvoir,12
liberté de l'enseignement,13
critère d'adhésion,14
négociation d'adhésion,15
adhésion à un accord,16
accès à la profession,18
accès à l'éducation,19
accès à l'information,21
accès à la justice,22
pollution accidentelle,23
accident domestique,24
prévention des accidents,25
compte,26
comptable,27
comptabilité,28
imputation comptable,29
système de comptabilité,30
acide,32
acidification,33
pluie acide,34
acoustique,35
acquisition de la propriété,44
recours contentieux administratif,45
recours du personnel,46
recours en annulation,47
recours en carence,49
recours en manquement,50
programme d'action,51
recours en responsabilité administrative,52
prix de déclenchement,53
rapport d'activité,54
adaptation des perspectives financières,55
adaptation au changement climatique,56
valeur ajoutée,57
allocation complémentaire,58
supplément tarifaire,59
ressources additionnelles,60
adhésif,61
commission ad hoc,62
ajournement,63
adaptation scolaire,64
adjuvant,65
siège de l'administration publique,66
autonomie administrative,68
code administratif,69
concours administratif,70
contrat administratif,71
contrôle administratif,72
coopération administrative,73
juridiction administrative,74
dépense de fonctionnement,75
formalité administrative,77
droit administratif,78
acte administratif,79
infraction administrative,80
arrêté,81
profession administrative,82
compétence administrative,83
procédure administrative,84
réforme administrative,85
responsabilité administrative,86
sanction administrative,87
science administrative,88
organisation administrative,89
tutelle administrative,90
transparence administrative,91
découpage administratif,92
administrateur,93
recevabilité,94
admission des étrangers,95
admission à l'examen,96
enfant adopté,98
droit d'adoption,99
adoption d'enfant,100
adoption de la loi,101
adoption du budget,102
adulte,107
éducation des adultes,108
avance de trésorerie,109
matériau avancé,110
industrie de pointe,111
paiement à l'avance,112
vote par anticipation,113
publicité,114
budget publicitaire,115
publicité abusive,116
pouvoir consultatif,118
boisson gazeuse,121
aérodynamique,122
industrie aéronautique,123
aérosol,124
industrie aérospatiale,125
chirurgie esthétique,127
commerce associé,129
boisement,130
service après-vente,139
discrimination fondée sur l'âge,140
agence à l'étranger,141
ordre du jour,143
majorité civile,144
circonstance aggravante,145
droit rural,146
réforme agraire,147
conseiller agricole,149
vulgarisation agricole,150
zone agricole avec contrainte environnementale,151
banque agricole,152
bâtiment agricole,153
sous-produit agricole,154
recensement agricole,155
coopérative agricole,156
crédit agricole,157
calamité agricole,158
économie agricole,159
enseignement agricole,160
équipement agricole,161
dépense agricole,162
