Term,Freq
verlaten land,3
afschaffing van de douanerechten,5
abortus,6
absolute meerderheid,9
machtsmisbruik,12
vrijheid van onderwijs,13
toetredingscriteria,14
toetreding tot een akkoord,16
toegang tot het beroepsleven,18
toegang tot het onderwijs,19
toegang tot de informatie,21
toegang tot de rechtspleging,22
toevallige vervuiling,23
ongeval thuis,24
ongevallenpreventie,25
rekening,26
boekhouder,27
boekhouding,28
boekhoudkundige afschrijving,29
boekhoudsysteem,30
zuur,32
verzuring,33
zure regen,34
klacht inzake bestuurlijke geschillen,45
beroep door het personeel,46
beroep tot nietigverklaring,47
beroep wegens nalatigheid,49
beroep wegens niet-nakomen,50
actieprogramma,51
vordering tot administratieve aansprakelijkheid,52
verslag over de werkzaamheden,54
bijstelling van de financiële vooruitzichten,55
aanpassing aan de klimaatverandering,56
toegevoegde waarde,57
aanvullende uitkering,58
aanvullende middelen,60
kleefmiddel,61
commissie ad hoc,62
zetel van de administratie,66
bestuurlijke autonomie,68
administratief wetboek,69
administratiefrechtelijke overeenkomst,71
administratief toezicht,72
administratieve samenwerking,73
administratieve rechtspraak,74
huishoudelijke uitgave,75
administratieve formaliteit,77
bestuursrecht,78
administratieve overtreding,80
besluit,81
administratief beroep,82
administratieve bevoegdheid,83
administratieve procedure,84
administratieve hervorming,85
bestuurlijke verantwoordelijkheid,86
administratieve sanctie,87
administratieve wetenschap,88
administratieve organisatie,89
administratieve voogdij,90
openbaarheid van het bestuur,91
administratieve indeling,92
administrateur,93
ontvankelijkheid,94
toelating van vreemdelingen,95
toelating tot het examen,96
aangenomen kind,98
adoptie,100
goedkeuring van de wet,101
goedkeuring van de begroting,102
volwassene,107
onderwijs voor volwassenen,108
kasvoorschot,109
geavanceerd materiaal,110
vooruitbetaling,112
stemming bij anticipatie,113
reclame,114
reclamebudget,115
misleidende reclame,116
consultatieve bevoegdheid,118
koolzuurhoudende drank,121
aërodynamica,122
luchtvaartindustrie,123
aërosol,124
ruimtevaartindustrie,125
plastische chirurgie,127
geassocieerde handel,129
bebossing,130
service,139
discriminatie op grond van leeftijd,140
agentschap in het buitenland,141
agenda,143
meerderjarigheid,144
verzwarende omstandigheid,145
agrarisch recht,146
landbouwhervorming,147
landbouwvoorlichting,150
landbouwgebied met milieubeperkingen,151
landbouwbedrijfsgebouw,153
agrarisch bijproduct,154
landbouwtelling,155
landbouwcoöperatie,156
landbouwkrediet,157
landbouweconomie,159
landbouwonderwijs,160
landbouwuitgaven,162
landbouwgereedschap,165
landbouwarbeidskrachten,167
landbouwgrond,168
landbouwheffing,169
landbouwmachine,170
landbouwmarkt,171
landbouwbeleid,173
landbouwproduct,174
landbouwproductie,175
landbouwproductiviteit,177
nomenclatuur van landbouwproducten,178
landbouwgebied,181
vertegenwoordigingsorgaan voor de landbouw,182
situatie van de landbouw,183
landbouwstatistiek,184
landbouwstructuur,185
handel in landbouwproducten,187
landbouwafval,189
landbouw en voeding,193
monetair landbouwbeleid,194
industriële verbouw,197
landbouwindustrie,198
landbouwkundig onderzoek,199
evaluatie van de steun,201
steun voor herstructurering,202
hulp in natura,203
steun per hectare,204
hulpbeleid,205
hulpprogramma,206
ontvanger van hulp,207
steunstelsel,209
steun aan de landbouw,210
steun aan de industrie,213
steun aan ondernemingen,215
vliegtuig,218
luchtvloot,220
luchtkussenvoertuig,221
luchtmacht,222
luchthaven,226
