Term,Freq
regulation,648823
State,421535
decision,238164
directive,207796
information,168933
market,149471
import,120819
provision,118425
service,114963
report,97889
prices,96620
testing,93008
European Union,92120
national,89446
account,86820
export,86815
parliament,77742
vehicle,74874
regulation (EU),74596
European Parliament,73315
standard,71696
costing,69498
production,69162
contract,67140
coding,67057
interest,61868
form,61283
work,58789
securities,57905
management,57371
section,52617
document,52539
payment,49976
European Community,49369
organisation,49328
republic,47114
assessment,45709
third country,44327
investment,44278
opinion,43822
Official Journal,43028
water,41966
plan,41621
sale,41468
approval,41206
vessel,38116
bank,37048
Marches,36017
supply,35661
publication,34646
credit,34002
share,33055
guarantee,32455
financing,32331
customs,32044
protocol,31999
tax,30669
claim,30628
region,29412
stock,26775
amendment,26266
expenditure,25924
tendering,25893
sugar,25845
establishment,25347
fruit,25009
implementing Regulation,24809
acid,24368
consumption,23890
charge,23809
record,23769
budget,23150
legislation,23110
staff,23020
repeal,22725
vegetable,22400
government,22280
engine,21957
research,21880
marketing,21538
State aid,21366
meat,21352
gas,21197
milk,21185
loan,21164
waste,20993
loss,20913
insurance,20855
competition,20062
evidence,19366
fish,19252
fuel,18531
storage,18404
European Commission,17687
Germany,17599
association,17258
technology,17234
airport,17034
liability,16808
consumer,16559
EEA Joint Committee,16553
steel,16528
wine,16024
auditing,15891
examination,15832
sheet,15812
seed,15789
recommendation,15611
metals,15478
aircraft,15233
agricultural product,15163
labelling,14977
surveillance,14873
maintenance,14806
classification,14584
language,14249
nomenclature,14210
revenue,14120
France,14108
load,13939
animal health,13814
accounting,13759
profit,13639
cereals,13530
euro,13469
paper,13190
debt,13064
advance,12763
purchase,12473
United Kingdom,11970
Italy,11952
statistics,11790
resolution,11728
customers,11680
lead,11631
building,11535
financial year,11366
income,11336
sea,11231
reserves,11215
dumping,11134
sampling,11130
carrier,10787
salt,10596
egg,10585
supplier,10482
fats,10419
export refund,10298
machinery,10245
births,10189
EFTA,10165
Spain,10075
child,10003
central bank,9900
container,9841
foodstuff,9797
flag,9761
bear,9745
China,9642
national law,9500
Europe,9423
Ireland,9332
ratio,9188
tariff quota,9166
rural development,9123
invitation to tender,9107
transit,9085
documentation,9042
glass,8953
economy,8912
import licence,8908
handling,8871
world,8823
delivery,8763
pay,8699
ISO,8651
partnership,8650
damages,8650
credit institution,8571
Poland,8491
plastics,8467
packaging,8467
poultry,8442
plate,8266
marketing year,8188
European Economic Area,8093
Romania,8044
Netherlands,8021
subsidiary,7993
carbon,7987
rice,7882
anti-dumping duty,7813
butter,7793
education,7781
executive,7760
Denmark,7717
travel,7670
sodium,7670
tube,7648
Bulgaria,7640
family,7627
Portugal,7604
Belgium,7576
iron,7543
Norway,7530
vote,7495
financial regulation,7381
drivers,7372
minister,7322
financial instrument,7321
Greece,7267
composition,7233
Luxembourg,7116
personal data,7111
legal person,7095
Sweden,7073
observation,7031
jurisdiction,6976
motor vehicle,6882
penalty,6877
farmer,6771
province,6729
public service,6675
proof,6614
wheat,6601
Austria,6587
raw material,6538
Switzerland,6412
manager,6339
household,6336
cotton,6285
innovation,6282
VAT,6256
grape,6227
olive,6224
Finland,6206
profitability,6165
branch,6158
implementing decision,6144
United States,6121
relationship,6086
Cyprus,6040
invoicing,6002
alcohol,5971
residence,5936
island,5926
India,5902
maize,5853
reinsurance,5833
Hungary,5818
fire,5808
bird,5807
bond,5770
rules of procedure,5730
Turkey,5695
Combined Nomenclature,5680
passport,5562
ministry,5558
financial institution,5550
milk product,5516
aluminium,5498
Latvia,5350
balance sheet,5321
appeal,5318
swine,5305
Ukraine,5305
computer,5299
Croatia,5296
shareholder,5283
export price,5261
Lithuania,5217
general budget,5212
removal,5177
display,5160
Czech Republic,5150
pump,5147
bearing,5146
promotion,5131
turnover,5053
heating,5047
strip,5025
seal,4990
Afghanistan,4989
fishing vessel,4979
crew,4974
oxide,4970
Internet,4961
Slovenia,4898
export licence,4885
alloy,4866
delegated regulation,4822
database,4818
recording,4816
Iceland,4789
wire,4778
agricultural market,4770
harvest,4753
pollution,4712
candidate,4695
Estonia,4692
America,4651
Liechtenstein,4609
Treaty on European Union,4601
joint action,4579
tractor,4536
potato,4528
starch,4505
hydrocarbon,4502
Uruguay,4480
petroleum,4468
airline,4444
money,4441
lease,4404
aquaculture,4335
fine,4309
software,4307
European Central Bank,4300
culture,4269
anti-dumping measure,4253
Eurosystem,4245
Canada,4162
designation of origin,4149
Eurostat,4142
leather,4128
representative price,4128
benchmarking,4125
tobacco,4123
common position,4118
customs duties,4110
copper,4108
Iran,4089
intervention agency,4084
discounting,4067
public health,4048
cash flow,4039
climate,4006
food safety,3997
free circulation,3994
nationality,3985
pesticide,3983
