Term,Freq
uredba,619008
država,496425
država članica,316499
svet,217366
direktiva,213420
med,171681
pogodba,131766
informacija,117000
trg,111430
cene,98572
Evropska unija,85601
krom,85087
odločba,82436
storitev,81119
parlament,77839
Evropski parlament,73369
uvoz,67545
proizvodnja,65313
Evropska skupnost,54046
mnenje,52211
tretja država,49854
uredba (EU),48265
voda,46605
uradni list,45378
republika,45178
prodaja,44286
plačilo,42908
standard,42831
stranke,42358
banka,40827
načrt,39708
preiskava,39696
zakonodaja,39157
plovilo,38005
dokument,37809
poročilo,37541
vozilo,36825
protokol,32763
politik,31546
sodišča,30789
izvoz,30755
mesto,30283
financiranje,28983
naložba,28632
račun,27250
zavarovanje,25781
papir,25736
živilo,25704
motor,25522
regija,25275
plin,24965
meso,24778
kislina,24246
zakon,23677
izvedbena uredba,23245
gospodarstvo,23198
sladkor,23113
posojilo,22783
stroji,22652
državna pomoč,22173
dolg,20514
gorivo,20319
proračun,20294
bolezen,20039
odpadki,19170
škoda,19017
izguba,18657
sadje,18380
prevoznik,17921
nadzorni organ,17845
konkurenca,17709
tehnologija,17662
davek,17628
razpis,17409
vlada,17220
seme,17217
letališče,17206
dokumentacija,17124
Nemčija,17107
jezik,16864
raziskave,16593
zelenjava,16517
ocenjevanje,16061
vrednostni papirji,15950
dobiček,15811
priporočilo,15693
dokaz,15279
kmetijski proizvod,15039
mleko,15010
nomenklatura,14810
zrakoplov,14348
Združeno kraljestvo,14296
razveljavitev,14100
vzdrževanje,13469
obrazec,13464
potrošnik,13463
odgovornost,13459
ribolov,13454
razmerje,13427
delo,13419
finančni instrument,13384
krma,13208
vino,13121
Skupni odbor EGP,13105
zaposleni,12879
riba,12664
izdatek,12660
potnik,12481
jeklo,12352
vzorčenje,12157
Italija,12146
žita,12140
Francija,12087
plošča,11939
električna energija,11932
delavec,11653
zaloga,11407
pooblastilo,11235
uslužbenec,11118
dobava,11114
prehrana,11077
pravna oseba,10952
otrok,10884
damping,10868
kovina,10859
cev,10815
združenje,10786
NATO,10696
centralna banka,10616
revizija,10597
Nizozemska,10578
praha,10180
Španija,10043
uvozno dovoljenje,9926
Kitajska,9887
nakup,9824
podeželje,9734
pakiranje,9503
morje,9449
skladiščenje,9288
delnica,9179
občina,9169
označevanje,9163
plača,9061
razvoj podeželja,9034
zastava,9023
surovine,9017
maščobe,8952
sol,8899
trženje,8872
dobavitelj,8818
kreditna institucija,8716
EFTA,8640
osebni podatki,8608
znamka,8557
ISO,8543
alkohol,8477
stalni odbor,8452
državljan,8395
statistika,8315
obresti,8293
Evropski gospodarski prostor,8237
trak,8195
skupna ureditev trga,8055
Poljska,7917
jajce,7829
otok,7825
resolucija,7817
Evropa,7753
govedo,7679
terjatev,7610
stavka,7608
ribištvo,7581
Portugalska,7566
Bolgarija,7522
Belgija,7501
