ID;SRC;TAR
c_715c08c0;3D printing;impression 3D
594;AAMS countries;pays de l'EAMA
759;abandoned child;enfant abandonné
4444;abandoned land;terre abandonnée
3509;ABM Agreement;accord ABM
4333;abolition of customs duties;suppression des droits de douane
4504;abortion;avortement
5075;Abruzzi;Abruzzes
5339;absenteeism;absentéisme
1746;absolute majority;majorité absolue
5984;abstentionism;abstentionnisme
4523;Abu Dhabi;Abu Dhabi
186;abuse of power;abus de pouvoir
3914;academic freedom;liberté de l'enseignement
6706;accession criteria;critère d'adhésion
6708;accession negotiations;négociation d'adhésion
5420;accession to an agreement;adhésion à un accord
12;accession to the European Union;adhésion à l'Union européenne
545;access to a profession;accès à la profession
280;access to education;accès à l'éducation
5399;access to EU information;accès à l'information de l'UE
453;access to information;accès à l'information
5400;access to the courts;accès à la justice
6413;accidental pollution;pollution accidentelle
5314;accident in the home;accident domestique
5810;accident prevention;prévention des accidents
61;account;compte
60;accountant;comptable
54;accounting;comptabilité
1333;accounting entry;imputation comptable
4362;accounting system;système de comptabilité
4873;acculturation;acculturation
5035;acid;acide
6407;acidification;acidification
4165;acid rain;pluie acide
3291;acoustics;acoustique
5083;ACP countries;pays ACP
4051;ACP-EU Committee of Ambassadors;comité des ambassadeurs ACP-UE
4049;ACP-EU Convention;convention ACP-UE
4041;ACP-EU Council of Ministers;Conseil des ministres ACP-UE
1450;ACP-EU institution;institution ACP-UE
5132;ACP-EU Joint Assembly;Assemblée paritaire ACP-UE
4052;ACP-EU Joint Committee;comité paritaire ACP-UE
442821;ACP-EU relationship;relation ACP-UE
5093;acquisition of property;acquisition de la propriété
5835;action brought before an administrative court;recours contentieux administratif
3979;action by staff;recours du personnel
2940;action for annulment;recours en annulation
5837;action for annulment (EU);recours en annulation (UE)
2941;action for failure to act;recours en carence
2942;action for failure to fulfil an obligation;recours en manquement
2792;action programme;programme d'action
5838;action to establish liability on the part of an administration;recours en responsabilité administrative
2651;activating price;prix de déclenchement
2894;activity report;rapport d'activité
5419;adaptation of financial perspectives;adaptation des perspectives financières
434786;adaptation to climate change;adaptation au changement climatique
4641;added value;valeur ajoutée
1369;additional benefit;allocation complémentaire
4329;additional duty;supplément tarifaire
3554;additional resources;ressources additionnelles
3;adhesive;adhésif
14;ad hoc committee;commission ad hoc
1062;adjournment;ajournement
6037;adjustment to school;adaptation scolaire
28;adjuvant;adjuvant
442917;administration headquarters;siège de l'administration publique
5421;administration of the Institutions;administration de l'institution
5450;administrative autonomy;autonomie administrative
6610;administrative code;code administratif
4090;administrative competition;concours administratif
5536;administrative contract;contrat administratif
171;administrative control;contrôle administratif
206;administrative cooperation;coopération administrative
1539;administrative court;juridiction administrative
397;administrative expenditure;dépense de fonctionnement
5577;administrative expenditure (EU);dépense de fonctionnement (UE)
5070;administrative formalities;formalité administrative
517;administrative law;droit administratif
5217;administrative measure;acte administratif
7365;administrative offence;infraction administrative
2669;administrative order;arrêté
3582;administrative personnel;profession administrative
35;administrative powers;compétence administrative
2695;administrative procedure;procédure administrative
2968;administrative reform;réforme administrative
4011;administrative responsibility;responsabilité administrative
3862;administrative sanction;sanction administrative
3923;administrative science;science administrative
2166;administrative structures;organisation administrative
5945;administrative supervision;tutelle administrative
5936;administrative transparency;transparence administrative
362;administrative unit;découpage administratif
8542;administrator;administrateur
2913;admissibility;recevabilité
4005;admission of aliens;admission des étrangers
88;admission to examinations;admission à l'examen
3700;ADN agreement;accord ADN
3302;adopted child;enfant adopté
6536;adoption law;droit d'adoption
117;adoption of a child;adoption d'enfant
127;adoption of a law by vote;adoption de la loi
144;adoption of the budget;adoption du budget
1195;ADR agreement;accord ADR
c_a6b5bad0;Adriatic and Ionian region;région de l'Adriatique et de la mer Ionienne
c_46e54685;Adriatic Croatia;Croatie adriatique
5221;Adriatic Sea;mer Adriatique
160;adult;adulte
674;adult education;éducation des adultes
4383;advance;avance de trésorerie
3689;advanced materials;matériau avancé
1376;advanced technology industry;industrie de pointe
2217;advance payment;paiement à l'avance
4759;advance voting;vote par anticipation
2862;advertising;publicité
5058;advertising budget;budget publicitaire
2863;advertising malpractice;publicité abusive
6050;advisory committee (EU);comité consultatif (UE)
3046;advisory power;pouvoir consultatif
4171;Aegean Islands;îles de la mer Égée
5223;Aegean Sea;mer Égée
1665;aerated drink;boisson gazeuse
4107;aerodynamics;aérodynamique
1357;aeronautical industry;industrie aéronautique
212;aerosol;aérosol
1358;aerospace industry;industrie aérospatiale
c_ea3f5ed2;aerostat;aérostat
6903;aesthetic surgery;chirurgie esthétique
1283;AETR agreement;accord AETR
3212;affiliated retailing;commerce associé
5016;afforestation;boisement
261;Afghanistan;Afghanistan
281;Africa;Afrique
2102;African and Mauritian Common Organisation;Organisation commune africaine et mauricienne
6077;African Charter on Human and Peoples' Rights;charte africaine des droits de l'homme et des peuples
450953;African Court of Justice and Human Rights;Cour africaine de justice et des droits de l'homme
4744;African Development Bank;Banque africaine de développement
2167;African organisation;organisation africaine
2202;African Union;Union africaine
4104;after-sales service;service après-vente
6230;age discrimination;discrimination fondée sur l'âge
380;agency abroad;agence à l'étranger
447917;Agency for the Cooperation of Energy Regulators;Agence de coopération des régulateurs de l’énergie
2160;agenda;ordre du jour
1747;age of majority;majorité civile
5489;aggravating circumstances;circonstance aggravante
579;agrarian law;droit rural
2970;agrarian reform;réforme agraire
1474;agreement (EU);accord (UE)
131;agricultural adviser;conseiller agricole
4771;agricultural advisory services;vulgarisation agricole
6313;agricultural area with environmental restrictions;zone agricole avec contrainte environnementale
4752;agricultural bank;banque agricole
152;agricultural building;bâtiment agricole
