ID;SRC;TAR
c_715c08c0;3D printing;3D-printen
594;AAMS countries;GASM-landen
759;abandoned child;vondeling
4444;abandoned land;verlaten land
3509;ABM Agreement;antiraketovereenkomst
4333;abolition of customs duties;afschaffing van de douanerechten
4504;abortion;abortus
5075;Abruzzi;Abruzzi
5339;absenteeism;absenteïsme
1746;absolute majority;absolute meerderheid
5984;abstentionism;stemonthouding
4523;Abu Dhabi;Abu Dhabi
186;abuse of power;machtsmisbruik
3914;academic freedom;vrijheid van onderwijs
6706;accession criteria;toetredingscriteria
6708;accession negotiations;toetredingsonderhandeling
5420;accession to an agreement;toetreding tot een akkoord
12;accession to the European Union;toetreding tot de Europese Unie
545;access to a profession;toegang tot het beroepsleven
280;access to education;toegang tot het onderwijs
5399;access to EU information;toegang tot EU-informatie
453;access to information;toegang tot de informatie
5400;access to the courts;toegang tot de rechtspleging
6413;accidental pollution;toevallige vervuiling
5314;accident in the home;ongeval thuis
5810;accident prevention;ongevallenpreventie
61;account;rekening
60;accountant;boekhouder
54;accounting;boekhouding
1333;accounting entry;boekhoudkundige afschrijving
4362;accounting system;boekhoudsysteem
4873;acculturation;acculturatie
5035;acid;zuur
6407;acidification;verzuring
4165;acid rain;zure regen
3291;acoustics;geluidsleer
5083;ACP countries;ACS-landen
4051;ACP-EU Committee of Ambassadors;ACS-EU-comité van ambassadeurs
4049;ACP-EU Convention;ACS-EU-overeenkomst
4041;ACP-EU Council of Ministers;ACS-EU-Raad van ministers
1450;ACP-EU institution;ACS-EU-instelling
5132;ACP-EU Joint Assembly;Paritaire Vergadering ACS-EU
4052;ACP-EU Joint Committee;paritair comité ACS-EU
442821;ACP-EU relationship;ACS-EU-samenwerking
5093;acquisition of property;eigendomsverkrijging
5835;action brought before an administrative court;klacht inzake bestuurlijke geschillen
3979;action by staff;beroep door het personeel
2940;action for annulment;beroep tot nietigverklaring
5837;action for annulment (EU);beroep tot nietigverklaring (EU)
2941;action for failure to act;beroep wegens nalatigheid
2942;action for failure to fulfil an obligation;beroep wegens niet-nakomen
2792;action programme;actieprogramma
5838;action to establish liability on the part of an administration;vordering tot administratieve aansprakelijkheid
2651;activating price;interventietoepassingsprijs
2894;activity report;verslag over de werkzaamheden
5419;adaptation of financial perspectives;bijstelling van de financiële vooruitzichten
434786;adaptation to climate change;aanpassing aan de klimaatverandering
4641;added value;toegevoegde waarde
1369;additional benefit;aanvullende uitkering
4329;additional duty;tariefsupplement
3554;additional resources;aanvullende middelen
3;adhesive;kleefmiddel
14;ad hoc committee;commissie ad hoc
1062;adjournment;verdaging
6037;adjustment to school;aanpassing aan het schoolleven
28;adjuvant;toeslagstof
442917;administration headquarters;zetel van de administratie
5421;administration of the Institutions;administratie van de instelling
5450;administrative autonomy;bestuurlijke autonomie
6610;administrative code;administratief wetboek
4090;administrative competition;aanstellingsexamen
5536;administrative contract;administratiefrechtelijke overeenkomst
171;administrative control;administratief toezicht
206;administrative cooperation;administratieve samenwerking
1539;administrative court;administratieve rechtspraak
397;administrative expenditure;huishoudelijke uitgave
5577;administrative expenditure (EU);huishoudelijke uitgaven (EU)
5070;administrative formalities;administratieve formaliteit
517;administrative law;bestuursrecht
5217;administrative measure;bestuursmaatregel
7365;administrative offence;administratieve overtreding
2669;administrative order;besluit
3582;administrative personnel;administratief beroep
35;administrative powers;administratieve bevoegdheid
2695;administrative procedure;administratieve procedure
2968;administrative reform;administratieve hervorming
4011;administrative responsibility;bestuurlijke verantwoordelijkheid
3862;administrative sanction;administratieve sanctie
3923;administrative science;administratieve wetenschap
2166;administrative structures;administratieve organisatie
5945;administrative supervision;administratieve voogdij
5936;administrative transparency;openbaarheid van het bestuur
362;administrative unit;administratieve indeling
8542;administrator;administrateur
2913;admissibility;ontvankelijkheid
4005;admission of aliens;toelating van vreemdelingen
88;admission to examinations;toelating tot het examen
3700;ADN agreement;ADN-overeenkomst
3302;adopted child;aangenomen kind
6536;adoption law;adoptierecht
117;adoption of a child;adoptie
127;adoption of a law by vote;goedkeuring van de wet
144;adoption of the budget;goedkeuring van de begroting
1195;ADR agreement;ADR-overeenkomst
c_a6b5bad0;Adriatic and Ionian region;Adriatische en Ionische regio
c_46e54685;Adriatic Croatia;Adriatisch-Kroatië
5221;Adriatic Sea;Adriatische Zee
160;adult;volwassene
674;adult education;onderwijs voor volwassenen
4383;advance;kasvoorschot
3689;advanced materials;geavanceerd materiaal
1376;advanced technology industry;speerpuntindustrie
2217;advance payment;vooruitbetaling
4759;advance voting;stemming bij anticipatie
2862;advertising;reclame
5058;advertising budget;reclamebudget
2863;advertising malpractice;misleidende reclame
6050;advisory committee (EU);raadgevend comité (EU)
3046;advisory power;consultatieve bevoegdheid
4171;Aegean Islands;Egeïsche eilanden
5223;Aegean Sea;Egeïsche Zee
1665;aerated drink;koolzuurhoudende drank
4107;aerodynamics;aërodynamica
1357;aeronautical industry;luchtvaartindustrie
212;aerosol;aërosol
1358;aerospace industry;ruimtevaartindustrie
c_ea3f5ed2;aerostat;aerostaat
6903;aesthetic surgery;plastische chirurgie
1283;AETR agreement;AETR-verdrag
3212;affiliated retailing;geassocieerde handel
5016;afforestation;bebossing
261;Afghanistan;Afghanistan
281;Africa;Afrika
2102;African and Mauritian Common Organisation;Afrikaans-Mauritiaanse Gemeenschappelijke Organisatie
6077;African Charter on Human and Peoples' Rights;Afrikaans Handvest voor de rechten van de mens en de volkeren
450953;African Court of Justice and Human Rights;Afrikaans Hof van Justitie en mensenrechten
4744;African Development Bank;Afrikaanse Ontwikkelingsbank
2167;African organisation;Afrikaanse organisatie
2202;African Union;Afrikaanse Unie
4104;after-sales service;service
6230;age discrimination;discriminatie op grond van leeftijd
380;agency abroad;agentschap in het buitenland
447917;Agency for the Cooperation of Energy Regulators;Agentschap voor de samenwerking tussen energieregulators
2160;agenda;agenda
1747;age of majority;meerderjarigheid
5489;aggravating circumstances;verzwarende omstandigheid
579;agrarian law;agrarisch recht
2970;agrarian reform;landbouwhervorming
1474;agreement (EU);overeenkomst (EU)
131;agricultural adviser;landbouwconsulent
4771;agricultural advisory services;landbouwvoorlichting
6313;agricultural area with environmental restrictions;landbouwgebied met milieubeperkingen
4752;agricultural bank;landbouwbank
152;agricultural building;landbouwbedrijfsgebouw
4225;agricultural by-product;agrarisch bijproduct
6316;agricultural census;landbouwtelling
228;agricultural cooperative;landbouwcoöperatie
6339;agricultural credit;landbouwkrediet
3155;agricultural disaster;landbouwcatastrofe
638;agricultural economics;landbouweconomie
780;agricultural education;landbouwonderwijs
846;agricultural equipment;landbouwmateriaal
5575;agricultural expenditure;landbouwuitgaven
