ID;SRC;TAR
594;AAMS countries;države ZADM
759;abandoned child;zapuščeni otrok
4444;abandoned land;opuščeno zemljišče
3509;ABM Agreement;sporazum ABM
4333;abolition of customs duties;odprava carin
4504;abortion;umetna prekinitev nosečnosti
5075;Abruzzi;Abruci
5339;absenteeism;izostajanje z dela
1746;absolute majority;absolutna večina
5984;abstentionism;volilna neudeležba
4523;Abu Dhabi;Abu Dabi
186;abuse of power;zloraba pooblastil
3914;academic freedom;akademska svoboda
6706;accession criteria;merila za pristop
6708;accession negotiations;pristopna pogajanja
5420;accession to an agreement;pristop k sporazumu
12;accession to the European Union;pristop k Evropski uniji
545;access to a profession;dostop do poklica
280;access to education;dostop do izobraževanja
5399;access to EU information;dostop do informacij EU
453;access to information;dostop do informacij
5400;access to the courts;dostop do sodnega varstva
6413;accidental pollution;onesnaženje zaradi nesreče
5314;accident in the home;nesreča na domu
5810;accident prevention;preprečevanje nesreč
61;account;račun
60;accountant;računovodja
54;accounting;računovodstvo
1333;accounting entry;računovodska vknjižba
4362;accounting system;računovodski sistem
4873;acculturation;akulturacija
5035;acid;kislina
6407;acidification;zakisljevanje
4165;acid rain;kisli dež
3291;acoustics;akustika
5083;ACP countries;države AKP
4051;ACP-EU Committee of Ambassadors;Odbor veleposlanikov AKP-EU
4049;ACP-EU Convention;sporazum AKP-EU
4041;ACP-EU Council of Ministers;Svet ministrov AKP-EU
1450;ACP-EU institution;institucija AKP-EU
5132;ACP-EU Joint Assembly;Skupna parlamentarna skupščina AKP-EU
4052;ACP-EU Joint Committee;Skupni odbor AKP-EU
442821;ACP-EU relationship;odnos AKP-EU
5093;acquisition of property;pridobitev lastnine
5835;action brought before an administrative court;tožba pred upravnim sodiščem
3979;action by staff;pritožba uslužbencev
2940;action for annulment;izpodbojna tožba
5837;action for annulment (EU);ničnostna tožba (EU)
2941;action for failure to act;tožba zaradi opustitve
2942;action for failure to fulfil an obligation;tožba zaradi neizpolnitve obveznosti
2792;action programme;akcijski program
5838;action to establish liability on the part of an administration;tožba na ugotovitev upravne odgovornosti
2651;activating price;aktivacijska cena
2894;activity report;poročilo o dejavnosti
5419;adaptation of financial perspectives;prilagoditev finančnega načrta
434786;adaptation to climate change;prilagoditev na podnebne spremembe
4641;added value;dodana vrednost
1369;additional benefit;dodatna dajatev
4329;additional duty;doplačilo
3554;additional resources;dodatna sredstva
3;adhesive;lepilo
14;ad hoc committee;ad hoc odbor
